Phone Number,Call Time,Call Type,Call Status,Call Duration (minutes)
001-372-782-1503x4975,2024-12-26 23:19:00,Inbound,Missed,7.15
668-878-8777x21177,2024-12-26 22:07:00,Inbound,Answered,2.183333333333333
+1-589-944-5370x5050,2024-12-26 02:26:00,Inbound,Answered,5.95
782-416-4963x958,2024-12-26 20:47:00,Inbound,Answered,2.9166666666666665
(894)861-0995,2024-12-26 21:40:00,Inbound,Answered,7.533333333333333
581.213.7992x9331,2024-12-26 05:50:00,Inbound,Answered,6.016666666666667
262.535.3298,2024-12-26 18:13:00,Inbound,Answered,4.9
266-963-3170,2024-12-26 08:21:00,Inbound,Answered,6.9
377-791-6151,2024-12-26 05:34:00,Inbound,Answered,2.55
001-541-923-9159x1188,2024-12-26 15:46:00,Inbound,Answered,1.3833333333333333
001-478-730-0245x0919,2024-12-26 12:57:00,Inbound,Answered,3.95
577.406.8166x200,2024-12-26 09:12:00,Inbound,Answered,4.583333333333333
997-863-9367x10994,2024-12-26 21:50:00,Inbound,Answered,4.533333333333333
+1-215-767-9534x36385,2024-12-26 23:29:00,Inbound,Missed,8.9
001-797-306-2332,2024-12-26 19:00:00,Inbound,Answered,9.166666666666666
001-960-919-9831,2024-12-26 07:29:00,Inbound,Answered,9.1
961-354-0691,2024-12-26 23:22:00,Inbound,Answered,7.066666666666666
+1-530-312-9797x2805,2024-12-26 11:04:00,Inbound,Missed,2.45
2389323609,2024-12-26 01:54:00,Inbound,Answered,5.083333333333333
590.882.6848,2024-12-26 07:49:00,Inbound,Answered,1.5333333333333334
001-988-417-7258,2024-12-26 01:05:00,Inbound,Answered,5.916666666666667
597.536.1768x638,2024-12-26 10:46:00,Inbound,Answered,8.416666666666666
(943)379-5636,2024-12-26 13:41:00,Inbound,Answered,9.933333333333334
+1-297-424-9804x815,2024-12-26 09:08:00,Inbound,Answered,7.433333333333334
+1-697-954-6675x13357,2024-12-26 02:15:00,Inbound,Answered,1.6166666666666667
816.916.8447,2024-12-26 07:12:00,Inbound,Answered,8.75
4506258738,2024-12-26 19:21:00,Inbound,Answered,0.9833333333333333
001-283-976-9407x187,2024-12-26 10:44:00,Inbound,Answered,7.45
780.524.6630,2024-12-26 07:15:00,Inbound,Answered,4.483333333333333
+1-338-837-9137x172,2024-12-26 22:22:00,Inbound,Answered,0.8166666666666667
001-383-246-5465x97762,2024-12-26 17:02:00,Inbound,Answered,5.083333333333333
703.818.1975x496,2024-12-26 13:30:00,Inbound,Answered,9.95
3039810326,2024-12-26 21:56:00,Inbound,Answered,2.216666666666667
418.892.2617,2024-12-26 15:39:00,Inbound,Answered,4.7
001-995-811-9636x296,2024-12-26 04:52:00,Inbound,Answered,9.966666666666667
001-800-803-8965x505,2024-12-26 09:02:00,Inbound,Missed,2.6333333333333333
+1-901-702-9320x0541,2024-12-26 04:45:00,Inbound,Missed,5.683333333333334
+1-944-769-7665x130,2024-12-26 08:25:00,Inbound,Missed,7.433333333333334
+1-642-288-7181x2757,2024-12-26 19:09:00,Inbound,Answered,8.1
495-628-5576x349,2024-12-26 18:23:00,Inbound,Missed,1.9166666666666667
001-309-479-5795x55192,2024-12-26 08:58:00,Inbound,Answered,9.033333333333333
+1-396-319-9103x77216,2024-12-26 19:57:00,Inbound,Answered,3.966666666666667
307-957-9641,2024-12-26 14:37:00,Inbound,Answered,2.9166666666666665
2605003447,2024-12-26 19:55:00,Inbound,Missed,6.866666666666666
(615)797-4975,2024-12-26 13:37:00,Inbound,Missed,9.716666666666667
001-549-590-0424x467,2024-12-26 12:21:00,Inbound,Answered,3.3666666666666667
001-432-450-3131x0408,2024-12-26 07:29:00,Inbound,Answered,4.683333333333334
(481)607-4518x4493,2024-12-26 04:43:00,Inbound,Missed,9.666666666666666
599.424.1421,2024-12-26 17:23:00,Inbound,Answered,7.716666666666667
001-417-622-6881,2024-12-26 16:50:00,Inbound,Answered,9.966666666666667
545.499.2611x99139,2024-12-26 03:06:00,Inbound,Answered,8.2
966.250.3433,2024-12-26 01:36:00,Inbound,Answered,1.2
001-205-525-5486,2024-12-26 03:44:00,Inbound,Answered,0.5166666666666667
+1-529-593-6553,2024-12-26 05:13:00,Inbound,Answered,8.416666666666666
974-830-6458,2024-12-26 21:25:00,Inbound,Answered,5.433333333333334
997.802.9312x388,2024-12-26 05:27:00,Inbound,Answered,3.35
7132437414,2024-12-26 23:13:00,Inbound,Answered,0.5
001-661-357-3896x9788,2024-12-26 14:24:00,Inbound,Answered,1.5166666666666666
(533)327-9722,2024-12-26 20:21:00,Inbound,Answered,8.716666666666667
+1-704-706-6100,2024-12-26 02:10:00,Inbound,Answered,5.15
552-700-9189,2024-12-26 13:08:00,Inbound,Missed,4.766666666666667
205-528-4746,2024-12-26 13:01:00,Inbound,Missed,6.983333333333333
001-367-731-9679x712,2024-12-26 20:20:00,Inbound,Answered,6.483333333333333
+1-320-526-4862x7130,2024-12-26 15:58:00,Inbound,Answered,4.116666666666666
343.598.6629x652,2024-12-26 18:03:00,Inbound,Answered,9.2
852.306.0122x0052,2024-12-26 08:34:00,Inbound,Missed,5.3
(820)661-1575x9682,2024-12-26 18:53:00,Inbound,Answered,1.2666666666666666
258.347.2690x609,2024-12-26 00:23:00,Inbound,Answered,3.25
5348597720,2024-12-26 23:13:00,Inbound,Missed,9.6
5222340812,2024-12-26 03:54:00,Inbound,Answered,1.6833333333333333
+1-438-949-0781x192,2024-12-26 23:16:00,Inbound,Answered,5.616666666666666
001-654-627-4652,2024-12-26 18:19:00,Inbound,Missed,2.0166666666666666
918-641-5694x39761,2024-12-26 09:06:00,Inbound,Answered,7.233333333333333
208.419.9897,2024-12-26 21:52:00,Inbound,Answered,2.5833333333333335
(264)262-4354x34058,2024-12-26 11:36:00,Inbound,Answered,2.8833333333333333
891-725-1197x3805,2024-12-26 03:48:00,Inbound,Answered,9.983333333333333
661-815-5702x6897,2024-12-26 10:01:00,Inbound,Answered,5.266666666666667
+1-616-898-1204,2024-12-26 14:50:00,Inbound,Answered,7.866666666666666
001-546-213-6974x773,2024-12-26 05:23:00,Inbound,Answered,4.083333333333333
+1-414-402-2821x12661,2024-12-26 15:29:00,Inbound,Answered,9.1
439.420.6837,2024-12-26 00:06:00,Inbound,Answered,5.916666666666667
309.989.6888x962,2024-12-26 08:59:00,Inbound,Answered,6.333333333333333
(508)284-1668x89753,2024-12-26 17:05:00,Inbound,Answered,4.95
(892)274-9232,2024-12-26 06:05:00,Inbound,Answered,8.216666666666667
001-363-621-3940x0620,2024-12-26 17:19:00,Inbound,Missed,5.15
(826)911-2563x4131,2024-12-26 03:37:00,Inbound,Answered,4.683333333333334
+1-946-257-3448x53490,2024-12-26 21:20:00,Inbound,Answered,5.983333333333333
200-593-2122x02136,2024-12-26 10:11:00,Inbound,Answered,6.316666666666666
355-486-1023,2024-12-26 21:48:00,Inbound,Answered,4.083333333333333
347-602-0147x30174,2024-12-26 17:19:00,Inbound,Missed,8.333333333333334
662-954-3844,2024-12-26 20:47:00,Inbound,Answered,6.1
3783654899,2024-12-26 06:47:00,Inbound,Missed,0.7666666666666667
001-891-987-5011x8778,2024-12-26 05:13:00,Inbound,Answered,2.7666666666666666
(365)545-1010,2024-12-26 12:45:00,Inbound,Answered,0.5333333333333333
925-931-6449x0634,2024-12-26 05:30:00,Inbound,Answered,8.616666666666667
+1-510-672-6617x546,2024-12-26 18:24:00,Inbound,Answered,0.5666666666666667
001-920-323-2514,2024-12-26 18:06:00,Inbound,Answered,0.65
+1-654-249-8972x8181,2024-12-26 00:01:00,Inbound,Answered,3.45
383.580.3255,2024-12-26 20:26:00,Inbound,Missed,7.55
(432)244-2661x1514,2024-12-26 11:03:00,Inbound,Answered,9.983333333333333
(231)967-9056,2024-12-26 16:40:00,Inbound,Missed,8.833333333333334
462.617.7579,2024-12-26 00:39:00,Inbound,Answered,7.2
292.422.8585x6403,2024-12-26 03:49:00,Inbound,Answered,9.683333333333334
543.978.9715x743,2024-12-26 12:23:00,Inbound,Missed,1.8833333333333333
929-275-7913x99177,2024-12-26 10:29:00,Inbound,Answered,1.8166666666666667
903.567.1298x67242,2024-12-26 08:10:00,Inbound,Answered,9.683333333333334
(832)332-7082,2024-12-26 01:58:00,Inbound,Answered,1.0166666666666666
889-515-7634,2024-12-26 08:13:00,Inbound,Missed,8.083333333333334
4566773356,2024-12-26 19:21:00,Inbound,Missed,2.6
442.775.9377,2024-12-26 02:41:00,Inbound,Missed,6.516666666666667
001-838-885-4643x1057,2024-12-26 02:55:00,Inbound,Answered,6.916666666666667
469-718-0166x90203,2024-12-26 16:35:00,Inbound,Answered,6.6
781-648-4622x380,2024-12-26 02:21:00,Inbound,Answered,7.1
(814)823-2520x43238,2024-12-26 18:10:00,Inbound,Answered,3.5166666666666666
291-571-7195,2024-12-26 04:17:00,Inbound,Answered,0.6333333333333333
+1-769-595-5425x7111,2024-12-26 04:22:00,Inbound,Missed,2.6166666666666667
984.522.9817x876,2024-12-26 22:31:00,Inbound,Answered,8.383333333333333
+1-466-664-4986x9540,2024-12-26 16:13:00,Inbound,Answered,6.816666666666666
(658)335-8672,2024-12-26 18:45:00,Inbound,Answered,3.783333333333333
(558)950-8901,2024-12-26 05:38:00,Inbound,Answered,8.083333333333334
504.735.9366x139,2024-12-26 09:02:00,Inbound,Missed,0.65
770-996-2145x27680,2024-12-26 18:00:00,Inbound,Missed,4.266666666666667
898.208.7894x19270,2024-12-26 20:42:00,Inbound,Missed,0.8333333333333334
763.737.4325,2024-12-26 14:26:00,Inbound,Answered,5.283333333333333
632-765-8203,2024-12-26 07:13:00,Inbound,Answered,6.6
639.993.5638x0668,2024-12-26 18:24:00,Inbound,Answered,3.7666666666666666
(429)614-4789x2097,2024-12-26 23:32:00,Inbound,Answered,2.033333333333333
+1-818-616-2343x9652,2024-12-26 06:51:00,Inbound,Answered,5.666666666666667
+1-534-979-6405x94897,2024-12-26 10:38:00,Inbound,Answered,4.266666666666667
2222486354,2024-12-26 13:37:00,Inbound,Answered,4.483333333333333
435.554.0236,2024-12-26 22:55:00,Inbound,Answered,8.916666666666666
572.349.0210,2024-12-26 22:10:00,Inbound,Answered,6.683333333333334
598-236-5860,2024-12-26 12:44:00,Inbound,Answered,1.1166666666666667
835-303-6495,2024-12-26 14:57:00,Inbound,Answered,5.283333333333333
(769)821-4643x9107,2024-12-26 17:39:00,Inbound,Answered,8.9
001-407-807-5636x3330,2024-12-26 15:24:00,Inbound,Missed,4.066666666666666
001-507-347-0911x8448,2024-12-26 04:07:00,Inbound,Missed,0.6166666666666667
842.269.7982,2024-12-26 08:27:00,Inbound,Answered,3.8333333333333335
919.352.8873x9471,2024-12-26 07:40:00,Inbound,Answered,7.25
419-817-0447x53377,2024-12-26 02:11:00,Inbound,Answered,2.3833333333333333
829-851-4602x3789,2024-12-26 11:32:00,Inbound,Missed,5.233333333333333
(970)780-2360x4466,2024-12-26 00:43:00,Inbound,Answered,9.033333333333333
9482747562,2024-12-26 20:04:00,Inbound,Answered,8.916666666666666
(560)361-0921,2024-12-26 18:54:00,Inbound,Answered,3.4
(803)736-5653x013,2024-12-26 07:51:00,Inbound,Answered,9.916666666666666
001-310-710-5900x5721,2024-12-26 20:05:00,Inbound,Answered,3.8
587-430-4297,2024-12-26 07:31:00,Inbound,Answered,3.4833333333333334
001-490-589-7154,2024-12-26 00:14:00,Inbound,Answered,1.6
348-303-2656x5392,2024-12-26 02:25:00,Inbound,Answered,2.683333333333333
583.712.0650,2024-12-26 21:32:00,Inbound,Answered,1.6
923-740-2484,2024-12-26 02:00:00,Inbound,Answered,2.6666666666666665
238.848.4594x196,2024-12-26 07:48:00,Inbound,Missed,4.916666666666667
001-345-617-2159x4003,2024-12-26 02:18:00,Inbound,Missed,4.383333333333334
001-960-912-4894x259,2024-12-26 01:04:00,Inbound,Answered,9.416666666666666
7064213186,2024-12-26 11:16:00,Inbound,Missed,5.166666666666667
+1-659-353-7952,2024-12-26 02:25:00,Inbound,Answered,3.7666666666666666
001-206-681-2604x80246,2024-12-26 17:32:00,Inbound,Answered,0.8833333333333333
671-634-7613x1856,2024-12-26 08:07:00,Inbound,Answered,9.583333333333334
+1-625-920-2670,2024-12-26 09:30:00,Inbound,Answered,4.8
(236)267-4057x7579,2024-12-26 22:50:00,Inbound,Answered,8.233333333333333
886.493.3284,2024-12-26 16:34:00,Inbound,Answered,0.5333333333333333
218-693-7980x24792,2024-12-26 07:18:00,Inbound,Answered,7.783333333333333
(734)992-7931,2024-12-26 18:24:00,Inbound,Missed,1.3833333333333333
242.303.7712,2024-12-26 04:30:00,Inbound,Answered,6.0
001-669-598-5660,2024-12-26 19:29:00,Inbound,Answered,7.866666666666666
001-937-481-7258x1907,2024-12-26 19:40:00,Inbound,Answered,7.433333333333334
9849998084,2024-12-26 16:08:00,Inbound,Answered,5.166666666666667
678-889-7873x6508,2024-12-26 08:17:00,Inbound,Answered,2.566666666666667
369.265.6054x512,2024-12-26 16:08:00,Inbound,Answered,9.333333333333334
+1-618-417-4352x27861,2024-12-26 13:53:00,Inbound,Missed,8.45
468.986.0272x86461,2024-12-26 06:29:00,Inbound,Answered,8.95
447-586-3554x85790,2024-12-26 03:13:00,Inbound,Answered,6.666666666666667
584-419-3126x323,2024-12-26 03:18:00,Inbound,Missed,9.316666666666666
4854478057,2024-12-26 22:29:00,Inbound,Answered,1.2333333333333334
6429560302,2024-12-26 14:42:00,Inbound,Missed,4.316666666666666
001-660-472-8388x09496,2024-12-26 12:05:00,Inbound,Answered,1.3
(823)945-1366x30277,2024-12-26 14:27:00,Inbound,Answered,5.233333333333333
920.631.1269,2024-12-26 14:01:00,Inbound,Answered,7.666666666666667
4758848016,2024-12-26 15:56:00,Inbound,Missed,9.583333333333334
001-593-541-6644x972,2024-12-26 01:50:00,Inbound,Answered,8.15
576-923-2488x40492,2024-12-26 22:59:00,Inbound,Answered,5.883333333333334
918.863.4647,2024-12-26 22:18:00,Inbound,Answered,0.5833333333333334
893.848.7080x3476,2024-12-26 22:03:00,Inbound,Answered,7.183333333333334
4455691764,2024-12-26 03:21:00,Inbound,Answered,3.816666666666667
(465)249-0016x96293,2024-12-26 02:04:00,Inbound,Answered,6.2
(928)450-7421,2024-12-26 13:44:00,Inbound,Answered,1.8833333333333333
342.950.5613,2024-12-26 11:34:00,Inbound,Answered,0.9166666666666666
(824)440-9376,2024-12-26 03:43:00,Inbound,Missed,4.35
813-468-4629,2024-12-26 08:29:00,Inbound,Missed,7.716666666666667
001-812-720-0954x985,2024-12-26 06:32:00,Inbound,Answered,1.7666666666666666
598.286.9323x2828,2024-12-26 06:29:00,Inbound,Answered,4.75
441.965.6753x598,2024-12-26 18:18:00,Inbound,Answered,3.85
+1-401-591-2830,2024-12-26 15:18:00,Inbound,Answered,3.3
335-572-5024x5455,2024-12-26 04:47:00,Inbound,Answered,6.116666666666666
(737)210-3428,2024-12-26 14:24:00,Inbound,Answered,5.8
(782)409-4859x3712,2024-12-26 06:15:00,Inbound,Answered,1.5666666666666667
561.880.1401x595,2024-12-26 09:30:00,Inbound,Answered,2.15
920-584-0945,2024-12-26 15:47:00,Inbound,Answered,0.9666666666666667
001-812-292-1813x3675,2024-12-26 08:31:00,Inbound,Answered,8.683333333333334
602.585.0138x760,2024-12-26 02:34:00,Inbound,Missed,7.866666666666666
001-963-772-5702x72559,2024-12-26 15:07:00,Inbound,Answered,0.9
333.508.6933,2024-12-26 18:47:00,Inbound,Answered,6.2
(210)318-2993x738,2024-12-26 03:20:00,Inbound,Missed,4.766666666666667
664-605-1812x896,2024-12-26 01:43:00,Inbound,Answered,4.716666666666667
001-625-951-2832,2024-12-26 22:15:00,Inbound,Answered,2.3333333333333335
680-925-2279x32613,2024-12-26 18:27:00,Inbound,Answered,8.566666666666666
314.631.5985x8099,2024-12-26 00:30:00,Inbound,Answered,4.566666666666666
968.669.6696,2024-12-26 03:11:00,Inbound,Answered,6.3
544.543.1613x941,2024-12-26 08:04:00,Inbound,Answered,1.4166666666666667
+1-943-681-9888x78218,2024-12-26 05:40:00,Inbound,Answered,6.183333333333334
781.843.2200x1369,2024-12-26 13:52:00,Inbound,Missed,9.366666666666667
+1-683-692-5138,2024-12-26 16:34:00,Inbound,Missed,4.533333333333333
(606)285-3424x84660,2024-12-26 16:25:00,Inbound,Answered,1.7333333333333334
393.228.9677x7927,2024-12-26 07:17:00,Inbound,Missed,7.983333333333333
+1-580-408-4152x1838,2024-12-26 13:41:00,Inbound,Answered,2.1166666666666667
694-867-5300x03444,2024-12-26 02:00:00,Inbound,Answered,8.116666666666667
+1-426-587-6068,2024-12-26 05:37:00,Inbound,Answered,2.6166666666666667
(996)266-6230x621,2024-12-26 12:56:00,Inbound,Answered,1.95
+1-892-648-5487x3185,2024-12-26 00:04:00,Inbound,Answered,1.5333333333333334
240-426-3990,2024-12-26 13:19:00,Inbound,Answered,1.0666666666666667
847.294.1783x086,2024-12-26 09:03:00,Inbound,Answered,6.933333333333334
001-270-600-0248x094,2024-12-26 15:31:00,Inbound,Answered,5.833333333333333
001-888-298-2589x210,2024-12-26 09:44:00,Inbound,Answered,1.6
(807)559-1693,2024-12-26 14:26:00,Inbound,Missed,2.6666666666666665
(275)992-6505,2024-12-26 23:46:00,Inbound,Answered,1.55
(379)394-6243x33068,2024-12-26 18:58:00,Inbound,Answered,8.033333333333333
001-521-525-6183x5237,2024-12-26 22:35:00,Inbound,Answered,1.4333333333333333
239.307.0737x88298,2024-12-26 16:36:00,Inbound,Missed,5.633333333333334
(359)714-5725x530,2024-12-26 05:17:00,Inbound,Answered,7.866666666666666
526-772-3224x102,2024-12-26 06:28:00,Inbound,Missed,1.6166666666666667
001-253-796-4505x7454,2024-12-26 10:07:00,Inbound,Answered,2.2333333333333334
560-749-0238x49489,2024-12-26 07:25:00,Inbound,Answered,1.45
217-971-2562,2024-12-26 01:59:00,Inbound,Answered,1.3833333333333333
454.884.0127x091,2024-12-26 19:46:00,Inbound,Answered,5.516666666666667
(833)359-2875x2217,2024-12-26 18:30:00,Inbound,Answered,7.0
+1-901-814-2076,2024-12-26 02:04:00,Inbound,Answered,7.35
(933)793-0202,2024-12-26 10:42:00,Inbound,Answered,2.1333333333333333
+1-935-460-9513x03585,2024-12-26 01:57:00,Inbound,Answered,7.5
756-412-5097,2024-12-26 01:42:00,Inbound,Missed,4.466666666666667
8212688386,2024-12-26 19:56:00,Inbound,Answered,0.6666666666666666
(446)640-2548x998,2024-12-26 16:16:00,Inbound,Answered,8.233333333333333
(944)466-2028,2024-12-26 17:09:00,Inbound,Answered,7.05
(791)928-1083,2024-12-26 18:07:00,Inbound,Answered,8.416666666666666
431.588.2059x51135,2024-12-26 05:22:00,Inbound,Answered,7.8
(247)218-5634,2024-12-26 01:56:00,Inbound,Answered,2.216666666666667
395.618.6089x87353,2024-12-26 17:20:00,Inbound,Answered,6.283333333333333
(302)212-5556x04082,2024-12-26 02:44:00,Inbound,Answered,0.9333333333333333
+1-396-693-6675,2024-12-26 06:20:00,Inbound,Answered,8.233333333333333
+1-440-746-7177x91188,2024-12-26 02:20:00,Inbound,Answered,9.316666666666666
760-682-3791,2024-12-26 20:18:00,Inbound,Answered,6.1
(397)463-9391,2024-12-26 02:19:00,Inbound,Answered,3.783333333333333
713.726.7258x2771,2024-12-26 23:02:00,Inbound,Answered,2.3333333333333335
408-871-8334,2024-12-26 08:01:00,Inbound,Answered,2.25
464.439.1158,2024-12-26 13:46:00,Inbound,Answered,0.7
(441)381-4951,2024-12-26 04:05:00,Inbound,Missed,1.65
001-468-329-7301,2024-12-26 19:26:00,Inbound,Answered,3.8
330.348.5057x9381,2024-12-26 08:24:00,Inbound,Answered,2.65
(525)684-6552x28542,2024-12-26 19:45:00,Inbound,Answered,9.183333333333334
001-490-840-1458x707,2024-12-26 20:17:00,Inbound,Answered,4.866666666666666
487-403-1880x6212,2024-12-26 01:21:00,Inbound,Answered,6.55
622.575.8033,2024-12-26 21:08:00,Inbound,Missed,7.683333333333334
298-400-9569x7412,2024-12-26 02:47:00,Inbound,Answered,8.7
+1-408-539-4320,2024-12-26 14:18:00,Inbound,Answered,8.083333333333334
555.649.5543,2024-12-26 22:26:00,Inbound,Answered,3.6666666666666665
001-908-849-0247,2024-12-26 19:55:00,Inbound,Answered,4.633333333333334
464-566-7484x8153,2024-12-26 19:17:00,Inbound,Answered,2.8333333333333335
336.387.3683x216,2024-12-26 17:50:00,Inbound,Answered,1.25
(631)269-1105x28742,2024-12-26 10:47:00,Inbound,Answered,1.5166666666666666
293.498.4760x01662,2024-12-26 08:54:00,Inbound,Answered,2.6666666666666665
+1-854-579-3540x33053,2024-12-26 06:58:00,Inbound,Answered,5.816666666666666
(865)515-8416,2024-12-26 22:51:00,Inbound,Missed,7.933333333333334
596.797.6072,2024-12-26 10:43:00,Inbound,Answered,9.25
(502)928-7159x108,2024-12-26 08:08:00,Inbound,Answered,6.6
(682)354-1616,2024-12-26 09:03:00,Inbound,Answered,5.8
561-524-3968,2024-12-26 13:30:00,Inbound,Answered,9.733333333333333
762.264.4786x36037,2024-12-26 04:28:00,Inbound,Answered,2.9833333333333334
(600)454-8421,2024-12-26 22:55:00,Inbound,Answered,3.0
475.677.7997x54606,2024-12-26 22:01:00,Inbound,Answered,8.5
+1-336-319-7915x888,2024-12-26 10:14:00,Inbound,Answered,5.766666666666667
861.635.5024,2024-12-26 15:36:00,Inbound,Answered,6.35
+1-993-557-1882,2024-12-26 10:47:00,Inbound,Answered,5.466666666666667
